md5sum:644,"B(RR(RP,SDSE))",157.11,684.33,1406.69,3749.43,3961.56
md5sum:629,"B(RR(RP,SDSE))",1217.6,1357.39,2007.96,2690.7,3317.93
md5sum:250,"B(RR(RP,SDSE))",3757.03,4106.31,4120.35,4529.55,5368.68
md5sum:270,"B(RR(RP,SDSE))",3756.08,4101.76,4119.44,4527.53,5367.03
md5sum:651,"B(RR(RP,SDSE))",34.3,36.92,37.36,40.19,41.13
md5sum:465,"B(RR(RP,SDSE))",3756.78,4106.0,4120.06,4529.27,5368.32
md5sum:625,"B(RR(RP,SDSE))",26.33,30.88,31.17,32.28,33.6
md5sum:637,"B(RR(RP,SDSE))",22.64,29.11,32.06,32.37,35.12
md5sum:623,"B(RR(RP,SDSE))",26.32,30.85,31.14,32.22,33.59
md5sum:143,"B(RR(RP,SDSE))",1218.07,1357.58,2008.11,2690.85,3318.1
md5sum:611,"B(RR(RP,SDSE))",21.2,23.44,25.68,27.22,30.4
md5sum:610,"B(RR(RP,SDSE))",21.2,23.43,25.68,27.18,30.39
md5sum:(#targets),"B(RR(RP,SDSE-rr))",65,65,65,65,65
md5sum:(#removed),"B(RR(RP,SDSE-rr))",17,17,18,18,18
md5sum:(max),"B(RR(RP,SDSE-rr))",1223.8,3733.59,3974.71,5196.97,5360.24
md5sum:432,"B(RR(RP,SDSE-rr))",28.63,30.05,32.18,32.9,36.24
md5sum:430,"B(RR(RP,SDSE-rr))",28.63,30.05,32.17,32.89,36.24
md5sum:431,"B(RR(RP,SDSE-rr))",28.63,30.05,32.18,32.9,36.24
md5sum:439,"B(RR(RP,SDSE-rr))",55.55,80.48,93.33,109.44,615.08
md5sum:390,"B(RR(RP,SDSE-rr))",43.16,44.23,44.33,48.07,54.98
md5sum:624,"B(RR(RP,SDSE-rr))",25.51,30.64,31.0,42.81,42.95
md5sum:644,"B(RR(RP,SDSE-rr))",3733.59,5196.97,5360.24,NA,NA
md5sum:629,"B(RR(RP,SDSE-rr))",1124.69,1147.89,1222.41,1524.96,3972.06
md5sum:250,"B(RR(RP,SDSE-rr))",31.5,33.03,34.7,35.72,39.41
md5sum:270,"B(RR(RP,SDSE-rr))",30.13,32.55,34.17,35.05,38.65
md5sum:651,"B(RR(RP,SDSE-rr))",25.86,32.73,37.14,50.58,55.61
md5sum:465,"B(RR(RP,SDSE-rr))",32.77,33.74,35.65,36.55,41.09
md5sum:625,"B(RR(RP,SDSE-rr))",25.51,30.65,31.01,42.81,42.95
md5sum:637,"B(RR(RP,SDSE-rr))",28.25,29.67,31.12,35.56,38.53
md5sum:623,"B(RR(RP,SDSE-rr))",23.79,30.64,30.71,40.66,42.94
md5sum:143,"B(RR(RP,SDSE-rr))",1125.29,1148.81,1223.8,1525.8,3974.71
md5sum:611,"B(RR(RP,SDSE-rr))",22.06,25.53,26.4,31.02,31.57
md5sum:610,"B(RR(RP,SDSE-rr))",22.06,25.52,26.4,31.01,31.56
md5sum:(#targets),CCBSE(RP),65,65,65,65,65
md5sum:(#removed),CCBSE(RP),14,14,14,14,14
md5sum:(max),CCBSE(RP),1096.5,1112.47,1188.46,1293.61,1311.63
md5sum:432,CCBSE(RP),36.65,43.35,43.67,45.21,45.32
md5sum:430,CCBSE(RP),36.34,42.64,43.14,44.55,44.82
md5sum:431,CCBSE(RP),36.44,43.0,43.49,44.79,45.02
md5sum:390,CCBSE(RP),29.63,34.26,35.62,36.34,36.56
md5sum:624,CCBSE(RP),30.63,32.94,33.87,35.19,35.44
md5sum:644,CCBSE(RP),20.24,23.12,24.55,25.02,26.06
md5sum:629,CCBSE(RP),1085.86,1109.17,1188.13,1293.34,1311.51
md5sum:651,CCBSE(RP),55.99,56.1,58.14,60.55,62.55
md5sum:625,CCBSE(RP),31.2,33.05,33.94,35.43,35.91
md5sum:637,CCBSE(RP),47.12,55.17,58.27,59.3,69.4
md5sum:623,CCBSE(RP),29.98,32.33,33.65,35.1,35.18
md5sum:143,CCBSE(RP),1096.5,1112.47,1188.46,1293.61,1311.63
md5sum:611,CCBSE(RP),22.81,26.34,27.47,28.35,29.32
md5sum:610,CCBSE(RP),22.76,26.32,27.45,28.28,29.27
md5sum:(#targets),OtterKLEE,65,65,65,65,65
md5sum:(#removed),OtterKLEE,15,15,15,15,16
md5sum:(max),OtterKLEE,48.48,49.88,56.58,519.35,1746.14
md5sum:432,OtterKLEE,31.05,39.27,40.26,42.39,48.43
md5sum:430,OtterKLEE,31.04,39.27,40.26,42.38,48.42
md5sum:431,OtterKLEE,31.04,39.27,40.26,42.38,48.43
md5sum:390,OtterKLEE,32.12,32.19,36.04,37.52,40.44
md5sum:624,OtterKLEE,23.29,27.08,27.32,27.7,30.11
md5sum:639,OtterKLEE,48.48,49.88,56.58,63.93,878.21
md5sum:629,OtterKLEE,35.78,41.21,41.79,42.66,43.26
md5sum:651,OtterKLEE,34.0,41.55,42.3,83.49,519.35
md5sum:688,OtterKLEE,34.09,38.85,39.97,40.68,40.89
md5sum:625,OtterKLEE,23.29,27.08,27.32,27.7,30.12
md5sum:637,OtterKLEE,36.92,45.28,47.29,52.49,56.06
md5sum:623,OtterKLEE,23.1,24.41,25.25,27.08,30.11
md5sum:143,OtterKLEE,35.78,41.21,41.83,42.66,43.27
md5sum:611,OtterKLEE,16.85,19.57,20.42,20.69,21.1
md5sum:653,OtterKLEE,1746.14,NA,NA,NA,NA
md5sum:610,OtterKLEE,16.85,19.57,20.41,20.68,21.09
md5sum:(#targets),Mix-CCBSE(OtterKLEE),65,65,65,65,65
md5sum:(#removed),Mix-CCBSE(OtterKLEE),16,16,16,16,17
md5sum:(max),Mix-CCBSE(OtterKLEE),55.29,62.31,65.57,80.25,2479.78
md5sum:432,Mix-CCBSE(OtterKLEE),39.64,41.05,42.11,51.71,53.27
md5sum:430,Mix-CCBSE(OtterKLEE),39.63,41.04,42.11,51.71,53.25
md5sum:431,Mix-CCBSE(OtterKLEE),39.64,41.04,42.11,51.71,53.26
md5sum:390,Mix-CCBSE(OtterKLEE),42.47,43.18,45.42,52.11,58.0
md5sum:624,Mix-CCBSE(OtterKLEE),28.63,32.51,32.64,32.83,33.54
md5sum:644,Mix-CCBSE(OtterKLEE),24.33,27.45,29.82,32.69,33.63
md5sum:639,Mix-CCBSE(OtterKLEE),55.29,62.31,65.57,80.25,1488.89
md5sum:629,Mix-CCBSE(OtterKLEE),44.01,48.27,49.53,54.73,59.99
md5sum:651,Mix-CCBSE(OtterKLEE),24.57,27.44,28.81,33.74,33.88
md5sum:688,Mix-CCBSE(OtterKLEE),41.95,45.94,46.6,52.31,57.18
md5sum:625,Mix-CCBSE(OtterKLEE),28.63,32.51,32.65,32.83,33.54
md5sum:637,Mix-CCBSE(OtterKLEE),52.97,55.13,59.3,63.28,742.88
md5sum:623,Mix-CCBSE(OtterKLEE),27.55,27.87,30.21,32.5,32.59
md5sum:143,Mix-CCBSE(OtterKLEE),44.02,48.3,49.53,54.74,60.0
md5sum:611,Mix-CCBSE(OtterKLEE),21.66,23.33,25.43,25.43,25.96
md5sum:653,Mix-CCBSE(OtterKLEE),2479.78,NA,NA,NA,NA
md5sum:610,Mix-CCBSE(OtterKLEE),21.65,23.33,25.42,25.43,25.96
md5sum:(#targets),Mix-CCBSE(OtterSAGE),65,65,65,65,65
md5sum:(#removed),Mix-CCBSE(OtterSAGE),9,12,13,13,16
md5sum:(max),Mix-CCBSE(OtterSAGE),55.64,1896.64,2212.34,2584.23,4504.46
md5sum:432,Mix-CCBSE(OtterSAGE),55.33,NA,NA,NA,NA
md5sum:430,Mix-CCBSE(OtterSAGE),55.33,NA,NA,NA,NA
md5sum:431,Mix-CCBSE(OtterSAGE),55.33,NA,NA,NA,NA
md5sum:391,Mix-CCBSE(OtterSAGE),27.41,30.4,31.37,NA,NA
md5sum:390,Mix-CCBSE(OtterSAGE),24.17,26.85,28.08,NA,NA
md5sum:624,Mix-CCBSE(OtterSAGE),24.09,1816.21,1881.39,2540.55,4503.88
md5sum:644,Mix-CCBSE(OtterSAGE),26.92,28.38,29.48,30.66,35.46
md5sum:639,Mix-CCBSE(OtterSAGE),26.08,NA,NA,NA,NA
md5sum:629,Mix-CCBSE(OtterSAGE),20.71,33.95,498.8,618.09,762.84
md5sum:250,Mix-CCBSE(OtterSAGE),55.63,NA,NA,NA,NA
